domanda,rispostaA,rispostaB,rispostaC,corretta
La libertà personale è inviolabile e…,"È garantita dalla riserva di giurisdizione: può essere limitata con atto dell’autorità giudiziaria, anche privo di motivazione","In casi di necessità e urgenza l’Autorità di P.S. può adottare provvedimenti provvisori, limitativi della libertà, che devono essere comunicati all’Autorità Giudiziaria per la convalida  <-- Risposta corretta",È garantita dalla riserva di legge ma non dalla riserva di giurisdizione: può essere limitata nei soli casi e modi previsti dalla legge,B
"Ai sensi dell’art. 13 Cost., la perquisizione locale d’iniziativa della P.G. per la ricerca di armi ed esplosivi (art. 41 TULPS):",Può essere effettuata solo su ordine del PM,Non è mai consentita,Necessita di convalida dell’A.G. entro 48 ore  <-- Risposta corretta,C
L’intercettazione telefonica:,Può essere disposta liberamente dalla Polizia Giudiziaria,Non è disciplinata dal codice di procedura penale,"Deve essere adottata dall’A.G. con provvedimento motivato, in quanto incide sulla libertà di comunicazione  <-- Risposta corretta",C
La libertà di circolazione e di soggiorno può essere limitata:,Solo dall’A.G. con atto motivato,Dall’A.G. o dall’autorità amministrativa  <-- Risposta corretta,Solo in caso di arresto,B
Sono restrizioni della libertà personale previste dalla legge:,Le perquisizioni e le ispezioni,"Le misure cautelari, cioè l’arresto e il fermo",Misure precautelari e cautelari  <-- Risposta corretta,C
Il preavviso alla pubblica autorità è richiesto per le riunioni:,In luogo privato,In luogo aperto al pubblico,In luogo pubblico  <-- Risposta corretta,C
Il diritto di manifestare liberamente il proprio pensiero:,Non può essere esercitato se in contrasto con le opinioni religiose,È garantito solo ai cittadini italiani,Deve avvenire nel rispetto dell’onorabilità della persona  <-- Risposta corretta,C
Le restrizioni alla libertà personale richiedono:,Solo una riserva di legge,Solo una riserva di giurisdizione,"Una doppia riserva, di legge e di giurisdizione  <-- Risposta corretta",C
"Il Questore, in merito alle riunioni pubbliche:",Non ha alcuna competenza,Può vietare una riunione in via preventiva per comprovati motivi di sicurezza o incolumità pubblica  <-- Risposta corretta,Può autorizzare lo scioglimento di partiti politici,B
Durante le riunioni pubbliche il porto d’armi:,È ammesso solo per gli agenti in borghese,È ammesso solo se si possiede regolare licenza,"È assoluto, riguarda anche chi è munito di licenza per il porto  <-- Risposta corretta",C
I principi fondamentali della Costituzione:,Possono essere modificati con legge ordinaria,Possono essere modificati con legge costituzionale,Non possono essere modificati con la procedura di revisione costituzionale prevista dall’art. 138 della Costituzione  <-- Risposta corretta,C
I diritti inviolabili dell’uomo:,Sono riconosciuti solo ai cittadini italiani,Sono disponibili se lo prevede la legge,"Sono indisponibili, intrasmissibili ed irrinunciabili  <-- Risposta corretta",C
Il principio di uguaglianza:,È rivolto solo ai cittadini italiani,È rivolto a tutti i cittadini  <-- Risposta corretta,Si applica solo in ambito penale,B
L’eguaglianza formale:,Si applica solo nei rapporti tra privati,Si concretizza nella parità di trattamento innanzi alla Legge  <-- Risposta corretta,È prevista solo nel codice civile,B
Il principio personalista:,Si realizza attraverso l’azione amministrativa dello Stato,Si realizza attraverso il riconoscimento del valore del rispetto della persona  <-- Risposta corretta,È previsto solo per i cittadini italiani,B
I diritti fondamentali:,Non sono riconosciuti in ambito internazionale,Sono riconosciuti a livello internazionale  <-- Risposta corretta,Sono garantiti solo agli italiani,B
Il principio di uguaglianza:,"Si rivolge al legislatore, giudice ed amministratore pubblico  <-- Risposta corretta",Si rivolge solo ai cittadini,È inapplicabile all’amministrazione,A
L’iniziativa legislativa popolare si esercita:,Con il diritto di petizione e referendum,Attraverso l’elettorato attivo  <-- Risposta corretta,Non è prevista nella nostra Costituzione,B
Il Consiglio d’Europa tutela i diritti dell’uomo:,Solo in ambito commerciale,Attraverso l’ONU,Con la Convenzione europea per la salvaguardia dei diritti dell’uomo e delle libertà fondamentali stipulata nel 1950  <-- Risposta corretta,C
La sovranità:,Appartiene al Parlamento,Appartiene al Governo,Appartiene al popolo che la esercita nei limiti e forme previsti dalla Costituzione  <-- Risposta corretta,C
L’amministrazione trasparente consente ai cittadini:,Di conoscere e controllare l’operato della pubblica amministrazione  <-- Risposta corretta,Di fare ricorso contro ogni provvedimento,Di accedere solo ai bilanci,A
L’accesso civico semplice può essere esercitato:,Solo dal diretto interessato,"Da chiunque, senza motivazione  <-- Risposta corretta",Solo tramite avvocato,B
